Distillery,Location,Region,Owner
Aberargie,Aberargie,Lowland,Perth Distilling Co
Aberfeldy,Aberfeldy,Highland,Bacardi
Aberlour,Aberlour,Speyside,Pernod Ricard
Abhainn Dearg,"Uig, Isle of Lewis",Island,Independent
Ailsa Bay,Girvan,Lowland,William Grant & Sons
Allt-A-Bhainne,Glenrinnes,Speyside,Pernod Ricard
Annandale,Annan,Lowland,Annandale Distillery Company
Arbikie,Inverkeilor,Highland,Independent
Ardbeg,Port Ellen,Islay,LVMH
Ardmore,Kennethmont,Highland,Beam Suntory
Ardnahoe,Port Askaig,Islay,Hunter Laing & Co Ltd
Ardnamurchan,Ardnamurchan,Highland,Adelphi Whisky
Arran,Lochranza,Island,Isle of Arran Distillers Ltd.
Auchentoshan,Dalmuir,Lowland,Beam Suntory (Morrison Bowmore)
Auchroisk,Mulben,Speyside,Diageo
Aultmore,Banffshire,Speyside,Bacardi
Balblair,Edderton,Highland,ThaiBev
Ballindalloch,Ballindalloch,Speyside,Independent
Balmenach,Cromdale,Speyside,ThaiBev
Balvenie,Dufftown,Speyside,William Grant & Sons
Barra,Borve,Island,Uisge Beatha nan Eilean Ltd
Ben Nevis,Fort William,Highland,Nikka Whisky Distilling Co Ltd
BenRiach,Morayshire,Speyside,Brown-Forman
Benrinnes,Banffshire,Speyside,Diageo
Benromach,Forres,Speyside,Gordon & MacPhail
Bladnoch,Wigtown,Lowland,David Prior
Blair Athol,Pitlochry,Highland,Diageo
Borders,Hawick,Lowland,The Three Stills Company
Bowmore,Bowmore,Islay,Beam Suntory (Morrison Bowmore)
Royal Brackla,Nairn,Highland,Bacardi
Braeval,Ballindalloch,Speyside,Pernod Ricard
BrewDog,Ellon,Highland,Independent
Brora,Brora,Highlands,Diageo
Bruichladdich,Rhinns of Islay,Islay,Rémy Cointreau
Bunnahabhain,Port Askaig,Islay,Distell (Burn Stewart)
Caol Ila,Port Askaig,Islay,Diageo
Cardhu,Knockando,Speyside,Diageo
Clydeside,Glasgow,Lowland,Morrison Glasgow Distillers
Clynelish,Brora,Highland,Diageo
Cragganmore,Ballindalloch,Speyside,Diageo
Craigellachie,Craigellachie,Speyside,Bacardi
Daftmill,Fife,Lowland,Independent
Dailuaine,Aberlour,Speyside,Diageo
Dalmore,Alness,Highland,Alliance Global Group (Emperador Inc)
Dalmunach,Carron,Speyside,Pernod Ricard
Dalwhinnie,Dalwhinnie,Speyside,Diageo
Deanston,Doune,Highland,Distell (Burn Stewart)
Deeside,Banchory,Highland,Deeside Brewery & Distillery Ltd
Dornoch,Dornoch,Highland,Independent
Dufftown,Banffshire,Speyside,Diageo
Eden Mill,Fife,Lowland,Independent
Edradour,Pitlochry,Highland,Signatory Vintage Scotch Whisky Co
Fettercairn,Fettercairn,Highland,Alliance Global Group (Emperador Inc)
Glasgow,Glasgow,Lowland,Independent
Glenallachie,Banffshire,Speyside,The GlenAllachie Distillers Co Limited
Glenburgie,Morayshire,Speyside,Pernod Ricard
Glencadam,Angus,Highland,Angus Dundee Distiller
Glendronach,Aberdeenshire,Highland,Brown-Forman
Glendullan,Banffshire,Speyside,Diageo
Glen Elgin,Morayshire,Speyside,Diageo
Glenfarclas,Ballindalloch,Speyside,J. & G. Grant
Glenfiddich,Dufftown,Speyside,William Grant & Sons
Glen Garioch,Oldmeldrum,Highland,Beam Suntory (Morrison Bowmore)
Glenglassaugh,Portsoy,Highland,Brown-Forman
Glengoyne,Dumgoyne,Highland,Ian Macleod Distillers
Glen Grant,Rothes,Speyside,Campari
Glengyle,Campbeltown,Campbeltown,Mitchell's Glengyle Ltd
Glen Keith,Keith,Speyside,Pernod Ricard
Glenkinchie,Pencaitland,Lowland,Diageo
Glenlivet,Ballindalloch,Speyside,Pernod Ricard
Glenlossie,Elgin,Speyside,Diageo
Glenmorangie,Tain,Highland,LVMH
Glen Moray,Elgin,Speyside,La Martiniquaise
Glen Ord,Muir of Ord,Highland,Diageo
Glenrothes,Rothes,Speyside,Edrington
Glen Scotia,Campbeltown,Campbeltown,Loch Lomond Group
Glen Spey,Rothes,Speyside,Diageo
Glentauchers,Mulben,Speyside,Pernod Ricard
Glenturret,Crieff,Highland,Lalique Group
GlenWyvis,Dingwall,Highland,Independent (community ownership)
Harris,Tarbert,Island,Independent
Highland Park,Kirkwall,Island,Edrington
Holyrood,Edinburgh,Lowland,Independent
Inchdairnie,Glenrothes,Lowland,Independent
Inchgower,Buckie,Speyside,Diageo
Jura,"Craighouse, Jura",Island,Alliance Global Group (Whyte & Mackay)
Kilchoman,Kilchoman,Islay,Independent
Kimbland,Sanday,Island,Independent
Kingsbarns,Kingsbarns,Lowland,Wemyss Malts
Kininvie,Dufftown,Speyside,William Grant & Sons
Knockando,Knockando,Speyside,Diageo
Knockdhu,Knock,Speyside,ThaiBev
Lagg,Lagg,Island,Isle of Arran Distillers Ltd.
Lagavulin,Port Ellen,Islay,Diageo
Laphroaig,Port Ellen,Islay,Beam Suntory
Leven,Leven,Lowland,Diageo
Lindores Abbey,Newburgh,Lowland,Independent
Linkwood,Elgin,Speyside,Diageo
Lochlea,Ayrshire,Lowland,Independent
Loch Lomond,Alexandria,Highland,Loch Lomond Group
Royal Lochnagar,Ballater,Highland,Diageo
Longmorn,Elgin,Speyside,Pernod Ricard
Macallan,Craigellachie,Speyside,Edrington
Macduff,Banff,Highland,Bacardi
Mannochmore,Elgin,Speyside,Diageo
Miltonduff,Elgin,Speyside,Pernod Ricard
Mortlach,Dufftown,Speyside,Diageo
Nc’nean,Lochlaline,Highland,Drimnin Distillery Co
Oban,Oban,Highland,Diageo
Pulteney,Wick,Highland,ThaiBev
Raasay,Isle of Raasay,Island,R&B Distillers
Roseisle,Roseisle,Speyside,Diageo
Scapa,Kirkwall,Island,Pernod Ricard
Speyburn,Rothes,Speyside,ThaiBev
Speyside,Drumguish,Speyside,Independent
Springbank,Campbeltown,Campbeltown,J & A Mitchell & Co Ltd.
Strathearn,Methven,Highland,Douglas Laing & Co.
Strathisla,Keith,Speyside,Pernod Ricard
Strathmill,Keith,Speyside,Diageo
Talisker,"Carbost, Isle of Skye",Island,Diageo
Tamdhu,Knockando,Speyside,Ian Macleod Distillers
Tamnavulin,Tomnavoulin,Speyside,Alliance Global Group (Whyte & Mackay)
Teaninich,Alness,Highland,Diageo
Tobermory,"Tobermory, Isle of Mull",Island,Distell (Burn Stewart)
Tomatin,Tomatin,Highland,Takara Shuzo Co
Tomintoul,Ballindalloch,Speyside,Angus Dundee Distiller
Torabhaig,"Teangue, Isle of Skye",Island,Mossburn Distillers
Tormore,Grantown-on-Spey,Speyside,Pernod Ricard
Tullibardine,Blackford,Highland,Picard Vins & Spiritueux
Wolfburn,Thurso,Highland,Independent
Auchinblae,Auchenblae,Highland,
Auchtermuchty [de],Auchtermuchty,Lowland,
Auchtertool [de],Auchtertool,Lowland,
Banff,Banff,Speyside,
Ben Wyvis,Dingwall,Highland,
Caperdonich,Rothes,Speyside,
Coleburn,Near Elgin,Speyside,
Convalmore,Dufftown,Speyside,
Dallas Dhu,Near Forres,Speyside,
Finnieston,Glasgow,Lowland,
Glen Albyn,Inverness,Highland,
Glenesk/Hillside,Montrose,Highland,
Glenflagler,Airdrie,Lowland,
Glenfyne/Glendarroch/Glengilp,Ardrishaig,Highland,
Glenlochy,Fort William,Highland,
Glen Mhor,Inverness,Highland,
Glenskiach,Evanton,Highland,
Glenugie,Peterhead,Highland,
Glenury,Stonehaven,Highland,
Hazelburn,Campbeltown,Campbeltown,
Imperial,Carron,Speyside,
Inverleven,Dumbarton,Lowland,
Killyloch,Airdrie,Lowland,
Kinclaith,Glasgow,Lowland,
Ladyburn,Girvan,Lowland,
Littlemill,Bowling,Lowland,
Lochside,Montrose,Highland,
Millburn,Inverness,Highland,
North Port,Brechin,Highland,
Parkmore,Dufftown,Speyside,
Pittyvaich,Dufftown,Speyside,
Port Charlotte/Lochindaal,Port Charlotte,Islay,
Port Ellen,Port Ellen,Islay,
Rosebank,Falkirk,Lowland,
St. Magdalene,Linlithgow,Lowland,
Towiemore,Near Keith,Speyside,
